tissue_cell,proteins,detected,det_o_test
ADIPOSE TISSUE - adipocytes,13250,4896,0.369509434
ADRENAL GLAND - cells in zona fasciculata,54,20,0.37037037
ADRENAL GLAND - cells in zona glomerulosa,55,23,0.418181818
ADRENAL GLAND - cells in zona reticularis,54,18,0.333333333
ADRENAL GLAND - glandular cells,13327,9221,0.691903654
ADRENAL GLAND - medullary cells,55,32,0.581818182
APPENDIX - glandular cells,13258,8999,0.678759994
APPENDIX - lymphoid tissue,12791,6071,0.4746306
BONE MARROW - hematopoietic cells,13222,7922,0.599152927
BREAST - adipocytes,13091,3376,0.257887098
BREAST - glandular cells,13199,8358,0.63322979
BREAST - myoepithelial cells,13186,7094,0.537994843
BRONCHUS - respiratory epithelial cells,12951,9153,0.706740792
CARTILAGE - chondrocytes,8,8,1
CAUDATE - glial cells,13317,5511,0.413831944
CAUDATE - neuronal cells,13115,7600,0.579489135
CAUDATE - neuronal projections,35,16,0.457142857
CAUDATE - synapses,35,18,0.514285714
CEREBELLUM - cells in dentate nucleus,3,1,0.333333333
CEREBELLUM - cells in granular layer,13291,6233,0.468963961
CEREBELLUM - cells in molecular layer,13304,5978,0.449338545
CEREBELLUM - glial cells,3,0,0
CEREBELLUM - neuronal projections,3,3,1
CEREBELLUM - Purkinje cells,13291,7652,0.575727936
CEREBELLUM - synapses,3,3,1
CEREBRAL CORTEX - endothelial cells,13338,5798,0.434697856
CEREBRAL CORTEX - glial cells,13338,5972,0.44774329
CEREBRAL CORTEX - neuronal cells,13338,8318,0.623631729
CEREBRAL CORTEX - neuronal projections,62,31,0.5
CEREBRAL CORTEX - neuropil,13326,6334,0.475311421
CEREBRAL CORTEX - synapses,58,16,0.275862069
"CERVIX, UTERINE - glandular cells",12623,7037,0.557474451
"CERVIX, UTERINE - squamous epithelial cells",12370,6639,0.536701698
CHOROID PLEXUS - ependymal cells,1,1,1
COLON - endothelial cells,13088,7218,0.551497555
COLON - glandular cells,13292,9428,0.709298826
COLON - peripheral nerve/ganglion,10995,6371,0.579445202
DORSAL RAPHE - glial cells,3,0,0
DORSAL RAPHE - neuronal cells,3,3,1
DORSAL RAPHE - neuronal projections,3,3,1
DORSAL RAPHE - synapses,3,3,1
DUODENUM - glandular cells,13343,9642,0.722626096
ENDOMETRIUM - cells in endometrial stroma,16523,6733,0.407492586
ENDOMETRIUM - glandular cells,17091,11304,0.661400737
EPIDIDYMIS - glandular cells,13263,9048,0.682198598
ESOPHAGUS - squamous epithelial cells,13299,8277,0.622377622
EYE - corneal epithelial cells,26,3,0.115384615
EYE - hyaloid membrane,26,3,0.115384615
EYE - lens epithelial cells,25,0,0
EYE - lens fiber cells,28,22,0.785714286
FALLOPIAN TUBE - glandular cells,13325,9141,0.686003752
GALLBLADDER - glandular cells,13282,9570,0.720524017
HAIR - cells in cortex/medulla,42,20,0.476190476
HAIR - cells in cuticle,41,8,0.195121951
HAIR - cells in external root sheath,43,7,0.162790698
HAIR - cells in internal root sheath,41,15,0.365853659
HEART MUSCLE - myocytes,13342,7949,0.595787738
HIPPOCAMPUS - glial cells,13332,4956,0.371737174
HIPPOCAMPUS - neuronal cells,13317,7638,0.573552602
HIPPOCAMPUS - neuronal projections,21,6,0.285714286
HIPPOCAMPUS - synapses,21,12,0.571428571
HYPOTHALAMUS - glial cells,39,5,0.128205128
HYPOTHALAMUS - neuronal cells,39,27,0.692307692
HYPOTHALAMUS - neuronal projections,40,30,0.75
HYPOTHALAMUS - synapses,39,13,0.333333333
KIDNEY - cells in glomeruli,13332,6269,0.470222022
KIDNEY - cells in tubules,13342,9780,0.733023535
LACTATING BREAST - ductal cells,9,4,0.444444444
LACTATING BREAST - lactating glandular cells,10,10,1
LIVER - bile duct cells,13258,4829,0.364232916
LIVER - hepatocytes,13341,7138,0.535042351
LUNG - macrophages,13325,8464,0.635196998
LUNG - pneumocytes,13339,6269,0.469975261
LYMPH NODE - germinal center cells,12635,6053,0.479066086
LYMPH NODE - non-germinal center cells,13275,7290,0.549152542
