"cell_type","High","Medium","Low","Not detected","enriched_score","num_genes","genes"
"exocrine glandular cells",0.6,0,0,0.2,60,4,"CELA3A, PNLIP, PRL, PRSS1"
"cells in anterior ",0.2,0,0,0,20,1,"PRL"
"glandular cells",0,0.02,0.01,0.75,1.25,4,"CELA3A, PNLIP, PRL, PRSS1"
"adipocytes",0,0,0,0.8,0,4,"CELA3A, PNLIP, PRL, PRSS1"
"bile duct cells",0,0,0,0.8,0,4,"CELA3A, PNLIP, PRL, PRSS1"
"cells in endometrial stroma",0,0,0,0.8,0,4,"CELA3A, PNLIP, PRL, PRSS1"
"cells in glomeruli",0,0,0,0.8,0,4,"CELA3A, PNLIP, PRL, PRSS1"
"cells in granular layer",0,0,0,0.8,0,4,"CELA3A, PNLIP, PRL, PRSS1"
"cells in molecular layer",0,0,0,0.8,0,4,"CELA3A, PNLIP, PRL, PRSS1"
"cells in posterior ",0,0,0,0.2,0,1,"PRL"
"cells in red pulp",0,0,0,0.8,0,4,"CELA3A, PNLIP, PRL, PRSS1"
"cells in tubules",0,0,0,0.8,0,4,"CELA3A, PNLIP, PRL, PRSS1"
"cells in white pulp",0,0,0,0.8,0,4,"CELA3A, PNLIP, PRL, PRSS1"
"chondrocytes",0,0,0,0.4,0,2,"PRL, PRSS1"
"decidual cells",0,0,0,0.6,0,3,"PNLIP, PRL, PRSS1"
"endothelial cells",0,0,0,0.8,0,4,"CELA3A, PNLIP, PRL, PRSS1"
"epidermal cells",0,0,0,0.8,0,4,"CELA3A, PNLIP, PRL, PRSS1"
"fibroblasts",0,0,0,0.8,0,4,"CELA3A, PNLIP, PRL, PRSS1"
"follicle cells",0,0,0,0.6,0,3,"PNLIP, PRL, PRSS1"
"germinal center cells",0,0,0,0.8,0,4,"CELA3A, PNLIP, PRL, PRSS1"
"glial cells",0,0,0,0.8,0,4,"CELA3A, PNLIP, PRL, PRSS1"
"hematopoietic cells",0,0,0,0.8,0,4,"CELA3A, PNLIP, PRL, PRSS1"
"hepatocytes",0,0,0,0.8,0,4,"CELA3A, PNLIP, PRL, PRSS1"
"islets of Langerhans",0,0,0,0.8,0,4,"CELA3A, PNLIP, PRL, PRSS1"
"keratinocytes",0,0,0,0.8,0,4,"CELA3A, PNLIP, PRL, PRSS1"
"Langerhans",0,0,0,0.8,0,4,"CELA3A, PNLIP, PRL, PRSS1"
"lymphoid tissue",0,0,0,0.8,0,4,"CELA3A, PNLIP, PRL, PRSS1"
