"Cell Type","Percent High Expression","Percent Medium Expression","Percent Low Expression","Not Detected","Enriched Score","Number of Genes","Genes"
"COLON - endothelial cells",1,0,0,0,100,0,""
"KIDNEY - cells in glomeruli",1,0,0,0,100,0,""
"SMOOTH MUSCLE - smooth muscle cells",1,0,0,0,100,0,""
"SPLEEN - cells in red pulp",1,0,0,0,100,0,""
"BONE MARROW - hematopoietic cells",0,1,0,0,50,0,""
"CEREBRAL CORTEX - endothelial cells",0,1,0,0,50,0,""
"LUNG - macrophages",0,0,1,0,25,0,""
"ADIPOSE TISSUE - adipocytes",0,0,0,1,0,0,""
"ADRENAL GLAND - glandular cells",0,0,0,1,0,0,""
"APPENDIX - glandular cells",0,0,0,1,0,0,""
"APPENDIX - lymphoid tissue",0,0,0,1,0,0,""
"BREAST - adipocytes",0,0,0,1,0,0,""
"BREAST - glandular cells",0,0,0,1,0,0,""
"BREAST - myoepithelial cells",0,0,0,1,0,0,""
"BRONCHUS - respiratory epithelial cells",0,0,0,1,0,0,""
"CAUDATE - glial cells",0,0,0,1,0,0,""
"CAUDATE - neuronal cells",0,0,0,1,0,0,""
"CEREBELLUM - cells in granular layer",0,0,0,1,0,0,""
"CEREBELLUM - cells in molecular layer",0,0,0,1,0,0,""
"CEREBELLUM - Purkinje cells",0,0,0,1,0,0,""
"CEREBRAL CORTEX - glial cells",0,0,0,1,0,0,""
"CEREBRAL CORTEX - neuronal cells",0,0,0,1,0,0,""
"CEREBRAL CORTEX - neuropil",0,0,0,1,0,0,""
"CERVIX, UTERINE - glandular cells",0,0,0,1,0,0,""
"CERVIX, UTERINE - squamous epithelial cells",0,0,0,1,0,0,""
"COLON - glandular cells",0,0,0,1,0,0,""
"COLON - peripheral nerve/ganglion",0,0,0,1,0,0,""
"DUODENUM - glandular cells",0,0,0,1,0,0,""
"ENDOMETRIUM - cells in endometrial stroma",0,0,0,1,0,0,""
"ENDOMETRIUM - glandular cells",0,0,0,1,0,0,""
"EPIDIDYMIS - glandular cells",0,0,0,1,0,0,""
"ESOPHAGUS - squamous epithelial cells",0,0,0,1,0,0,""
"FALLOPIAN TUBE - glandular cells",0,0,0,1,0,0,""
"GALLBLADDER - glandular cells",0,0,0,1,0,0,""
"HEART MUSCLE - myocytes",0,0,0,1,0,0,""
"HIPPOCAMPUS - glial cells",0,0,0,1,0,0,""
"HIPPOCAMPUS - neuronal cells",0,0,0,1,0,0,""
"KIDNEY - cells in tubules",0,0,0,1,0,0,""
"LIVER - bile duct cells",0,0,0,1,0,0,""
"LIVER - hepatocytes",0,0,0,1,0,0,""
"LUNG - pneumocytes",0,0,0,1,0,0,""
"LYMPH NODE - germinal center cells",0,0,0,1,0,0,""
"LYMPH NODE - non-germinal center cells",0,0,0,1,0,0,""
"NASOPHARYNX - respiratory epithelial cells",0,0,0,1,0,0,""
"ORAL MUCOSA - squamous epithelial cells",0,0,0,1,0,0,""
"OVARY - ovarian stroma cells",0,0,0,1,0,0,""
"PANCREAS - exocrine glandular cells",0,0,0,1,0,0,""
"PANCREAS - islets of Langerhans",0,0,0,1,0,0,""
"PARATHYROID GLAND - glandular cells",0,0,0,1,0,0,""
"PLACENTA - trophoblastic cells",0,0,0,1,0,0,""
"PROSTATE - glandular cells",0,0,0,1,0,0,""
"RECTUM - glandular cells",0,0,0,1,0,0,""
"SALIVARY GLAND - glandular cells",0,0,0,1,0,0,""
"SEMINAL VESICLE - glandular cells",0,0,0,1,0,0,""
"SKELETAL MUSCLE - myocytes",0,0,0,1,0,0,""
"SKIN - epidermal cells",0,0,0,1,0,0,""
"SKIN - fibroblasts",0,0,0,1,0,0,""
"SKIN - keratinocytes",0,0,0,1,0,0,""
"SKIN - Langerhans",0,0,0,1,0,0,""
"SKIN - melanocytes",0,0,0,1,0,0,""
"SMALL INTESTINE - glandular cells",0,0,0,1,0,0,""
"SOFT TISSUE - fibroblasts",0,0,0,1,0,0,""
"SOFT TISSUE - peripheral nerve",0,0,0,1,0,0,""
"SPLEEN - cells in white pulp",0,0,0,1,0,0,""
"STOMACH - glandular cells",0,0,0,1,0,0,""
"THYROID GLAND - glandular cells",0,0,0,1,0,0,""
"TONSIL - germinal center cells",0,0,0,1,0,0,""
"TONSIL - non-germinal center cells",0,0,0,1,0,0,""
"TONSIL - squamous epithelial cells",0,0,0,1,0,0,""
"URINARY BLADDER - urothelial cells",0,0,0,1,0,0,""
"VAGINA - squamous epithelial cells",0,0,0,1,0,0,""
"PLACENTA - decidual cells",NA,NA,NA,NA,NA,0,""
"TESTIS - cells in seminiferous ducts",NA,NA,NA,NA,NA,0,""
"TESTIS - Leydig cells",NA,NA,NA,NA,NA,0,""
"N/A - N/A",NA,NA,NA,NA,NA,0,""
"OVARY - follicle cells",NA,NA,NA,NA,NA,0,""
"SOFT TISSUE - chondrocytes",NA,NA,NA,NA,NA,0,""
"HYPOTHALAMUS - glial cells",NA,NA,NA,NA,NA,0,""
"HYPOTHALAMUS - neuronal cells",NA,NA,NA,NA,NA,0,""
"HYPOTHALAMUS - neuronal projections",NA,NA,NA,NA,NA,0,""
"HYPOTHALAMUS - synapses",NA,NA,NA,NA,NA,0,""
"TESTIS - elongated or late spermatids",NA,NA,NA,NA,NA,0,""
"TESTIS - pachytene spermatocytes",NA,NA,NA,NA,NA,0,""
"TESTIS - peritubular cells",NA,NA,NA,NA,NA,0,""
"TESTIS - preleptotene spermatocytes",NA,NA,NA,NA,NA,0,""
"TESTIS - round or early spermatids",NA,NA,NA,NA,NA,0,""
"TESTIS - sertoli cells",NA,NA,NA,NA,NA,0,""
"TESTIS - spermatogonia cells",NA,NA,NA,NA,NA,0,""
"HAIR - cells in cortex/medulla",NA,NA,NA,NA,NA,0,""
"HAIR - cells in cuticle",NA,NA,NA,NA,NA,0,""
"HAIR - cells in external root sheath",NA,NA,NA,NA,NA,0,""
"HAIR - cells in internal root sheath",NA,NA,NA,NA,NA,0,""
"CAUDATE - neuronal projections",NA,NA,NA,NA,NA,0,""
"CAUDATE - synapses",NA,NA,NA,NA,NA,0,""
"CEREBRAL CORTEX - neuronal projections",NA,NA,NA,NA,NA,0,""
"CEREBRAL CORTEX - synapses",NA,NA,NA,NA,NA,0,""
"RETINA - cells in inner nuclear layer ",NA,NA,NA,NA,NA,0,""
"RETINA - cells in photoreceptor layer ",NA,NA,NA,NA,NA,0,""
"RETINA - ganglion cells ",NA,NA,NA,NA,NA,0,""
"RETINA - limiting membrane",NA,NA,NA,NA,NA,0,""
"RETINA - nerve fibers in inner plexiform layer",NA,NA,NA,NA,NA,0,""
"RETINA - nerve fibers in nerve fiber layer",NA,NA,NA,NA,NA,0,""
"RETINA - nerve fibers in outer plexiform layer ",NA,NA,NA,NA,NA,0,""
"RETINA - pigment epithelium",NA,NA,NA,NA,NA,0,""
"LACTATING BREAST - lactating glandular cells",NA,NA,NA,NA,NA,0,""
"ADRENAL GLAND - cells in zona fasciculata",NA,NA,NA,NA,NA,0,""
"ADRENAL GLAND - cells in zona glomerulosa",NA,NA,NA,NA,NA,0,""
"ADRENAL GLAND - cells in zona reticularis",NA,NA,NA,NA,NA,0,""
"ADRENAL GLAND - medullary cells",NA,NA,NA,NA,NA,0,""
"SKIN - sebaceous cells",NA,NA,NA,NA,NA,0,""
"SKIN - secretory cells",NA,NA,NA,NA,NA,0,""
"SKIN - sweat ducts",NA,NA,NA,NA,NA,0,""
"CARTILAGE - chondrocytes",NA,NA,NA,NA,NA,0,""
"EYE - corneal epithelial cells",NA,NA,NA,NA,NA,0,""
"EYE - hyaloid membrane",NA,NA,NA,NA,NA,0,""
"EYE - lens epithelial cells",NA,NA,NA,NA,NA,0,""
"EYE - lens fiber cells",NA,NA,NA,NA,NA,0,""
"THYMUS - cortical cells",NA,NA,NA,NA,NA,0,""
"THYMUS - medullary cells",NA,NA,NA,NA,NA,0,""
"HIPPOCAMPUS - neuronal projections",NA,NA,NA,NA,NA,0,""
"HIPPOCAMPUS - synapses",NA,NA,NA,NA,NA,0,""
"PITUITARY GLAND - cells in anterior ",NA,NA,NA,NA,NA,0,""
"PITUITARY GLAND - cells in posterior ",NA,NA,NA,NA,NA,0,""
"DORSAL RAPHE - glial cells",NA,NA,NA,NA,NA,0,""
"DORSAL RAPHE - neuronal cells",NA,NA,NA,NA,NA,0,""
"DORSAL RAPHE - neuronal projections",NA,NA,NA,NA,NA,0,""
"DORSAL RAPHE - synapses",NA,NA,NA,NA,NA,0,""
"LACTATING BREAST - ductal cells",NA,NA,NA,NA,NA,0,""
"CHOROID PLEXUS - ependymal cells",NA,NA,NA,NA,NA,0,""
"CEREBELLUM - cells in dentate nucleus",NA,NA,NA,NA,NA,0,""
"CEREBELLUM - glial cells",NA,NA,NA,NA,NA,0,""
"CEREBELLUM - neuronal projections",NA,NA,NA,NA,NA,0,""
"CEREBELLUM - synapses",NA,NA,NA,NA,NA,0,""
"SUBSTANTIA NIGRA - glial cells",NA,NA,NA,NA,NA,0,""
"SUBSTANTIA NIGRA - neuronal cells",NA,NA,NA,NA,NA,0,""
"SUBSTANTIA NIGRA - neuronal projections",NA,NA,NA,NA,NA,0,""
"SUBSTANTIA NIGRA - synapses",NA,NA,NA,NA,NA,0,""
"SOLE OF FOOT - epidermal cells",NA,NA,NA,NA,NA,0,""
